City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Windspeed (mph),Country,Date
Médéa,36.2642,2.7539,64.85,56,62,1.7,DZ,1627341993
Madimba,-10.4,40.3333,68.45,85,9,10.67,TZ,1627341993
Kiryat Gat,31.61,34.7642,80.82,82,0,5.1,IL,1627341878
Sicuani,-14.2694,-71.2261,50.97,29,5,5.41,PE,1627341832
Luangwa,-15.6167,30.4167,56.26,80,42,3.4,ZM,1627341898
Nishihara,26.1842,127.7558,82.06,89,40,11.5,JP,1627341716
Aklavik,68.2191,-135.0107,63.32,77,90,3.44,CA,1627341688
North Bend,43.4065,-124.2243,76.24,77,90,23.02,US,1627341861
Kotelnikowo,47.6317,43.1461,78.8,30,79,15.82,RU,1627341994
Katubao,5.8892,124.8294,81.61,80,93,5.08,PH,1627341994
Selishche,56.8879,33.2691,58.19,76,0,3.51,RU,1627341995
Umluj,25.0213,37.2685,86.65,53,18,9.22,SA,1627341763
Kenai,60.5544,-151.2583,66.02,76,1,9.22,US,1627341590
Punta de Piedra,7.6176,-71.4916,73.11,96,100,1.45,VE,1627341995
Gisborne,-38.6533,178.0042,56.95,62,50,10.6,NZ,1627341995
Guerrero Negro,27.9769,-114.0611,77.31,56,0,15.03,MX,1627341845
Sabha,27.0377,14.4283,83.53,24,0,13.89,LY,1627341996
Diego de Almagro,-26.3667,-70.05,52.34,53,0,4.29,CL,1627341996
Coahuayana Viejo,18.7333,-103.6833,89.08,71,47,5.19,MX,1627341849
Ribas do Rio Pardo,-20.4431,-53.7592,77.52,30,0,4.81,BR,1627341996
Sindor,62.8629,51.8905,42.44,95,18,8.1,RU,1627341997
Christchurch,-43.5333,172.6333,48.99,88,90,6.91,NZ,1627341738
Vilhena,-12.7406,-60.1458,77.22,53,0,4.61,BR,1627341997
Ondjiva,-17.0667,15.7333,55.13,38,0,8.39,AO,1627341841
Matagami,49.7502,-77.6328,55.51,76,90,10.36,CA,1627341863
Dauriya,49.9333,116.8667,62.13,79,95,5.12,RU,1627341997
Pandamatenga,-18.5278,25.627,48.61,51,1,5.91,BW,1627341998
Quryq,43.2,51.65,86.47,25,34,21.68,KZ,1627341998
Kasangulu,-4.5911,15.1708,74.28,44,94,8.23,CD,1627341998
Tevaitoa,-16.7833,-151.5,78.75,74,54,12.35,PF,1627341999
Leh,34.1667,77.5833,70.16,37,92,8.59,IN,1627341999
Tezu,27.9167,96.1667,76.46,99,100,3.15,IN,1627341999
Gerede,40.8008,32.1969,52.68,94,3,2.1,TR,1627341939
Fort Saint James,54.4333,-124.25,66.54,56,74,5.86,CA,1627342000
Galesong,-5.3166,119.3661,68.02,65,13,8.66,ID,1627342001
Boda,4.3189,17.4695,70.34,94,100,1.23,CF,1627342001
Ketchikan,55.3422,-131.6461,61.27,82,90,14.97,US,1627342001
Chapais,49.7834,-74.8492,55.18,91,93,9.73,CA,1627341926
Comodoro Rivadavia,-45.8667,-67.5,46.26,49,0,13.8,AR,1627341648
Mamboma,8.0833,-11.6833,72.25,98,76,2.55,SL,1627342002
Katobu,-4.9408,122.5276,73.22,87,35,2.57,ID,1627342002
Dnestrovsc,46.6222,29.9133,71.96,49,1,2.66,MD,1627342002
San Jose de Guanipa,8.8872,-64.1651,78.8,74,89,5.84,VE,1627342003
Mehamn,71.0357,27.8492,45.14,89,27,3.69,NO,1627342003
Bairiki Village,1.3292,172.9752,86.0,66,20,5.75,KI,1627342003
Vila Franca do Campo,37.7167,-25.4333,70.21,88,50,6.6,PT,1627341597
Nantucket,41.2835,-70.0995,81.01,88,75,9.22,US,1627341608
Coração de Jesus,-16.6853,-44.365,70.52,47,4,6.49,BR,1627342004
Muborak,39.2553,65.1528,85.17,20,0,18.59,UZ,1627342004
Harrison,30.4091,-89.0436,89.67,69,1,8.05,US,1627342004
Huadian,42.9633,126.7478,76.55,75,100,2.01,CN,1627342005
Westport,41.1415,-73.3579,87.62,55,1,1.99,US,1627341833
Atar,20.5169,-13.0499,96.08,18,19,6.2,MR,1627341841
Saint-Leu,-21.15,55.2833,63.43,74,39,9.64,RE,1627342005
Ereymentau,51.6199,73.1033,52.99,62,0,3.62,KZ,1627342006
Balkanabat,39.5108,54.3671,85.39,64,0,4.7,TM,1627342006
Llangefni,53.2556,-4.3106,62.65,85,20,6.91,GB,1627342006
Salalah,17.0151,54.0924,78.89,83,75,4.61,OM,1627341885
Ust-Nera,64.5667,143.2,53.67,92,100,5.84,RU,1627341828
Guadalupe Victoria,32.2869,-115.105,106.95,25,17,12.06,MX,1627342007
Gobabis,-22.45,18.9667,44.76,50,0,12.08,NA,1627342007
Ajdabiya,30.7554,20.2263,77.43,51,0,9.86,LY,1627342007
Aripuanã,-9.1667,-60.6333,82.56,40,19,1.16,BR,1627342007
Aranos,-24.1333,19.1167,47.64,42,0,15.01,NA,1627342008
Bahía Honda,22.9036,-83.1592,81.86,75,68,2.33,CU,1627342008
Kokoda,-8.8785,147.7407,78.37,83,97,1.88,PG,1627342009
Tarko-Sale,64.9225,77.785,47.57,94,100,20.47,RU,1627342009
Romodanovo,54.4275,45.3296,58.75,68,59,5.14,RU,1627342009
Licheng,23.2955,113.8284,85.93,82,89,0.89,CN,1627342009
Zyryanka,65.75,150.85,54.84,47,69,16.28,RU,1627341742
Havøysund,70.9963,24.6622,50.88,83,53,8.5,NO,1627341920
Semīrom,31.4167,51.5667,66.02,22,0,5.97,IR,1627342010
Tiznit Province,29.5833,-9.5,70.61,69,2,2.33,MA,1627342010
Kununurra,-15.7667,128.7333,67.98,83,100,4.61,AU,1627341866
Nkhotakota,-12.9274,34.2961,63.59,68,37,15.21,MW,1627342011
Vetluga,57.8557,45.781,56.21,88,62,5.12,RU,1627342011
Sampit,-2.5333,112.95,72.9,92,6,2.71,ID,1627342011
Port Moresby,-9.4431,147.1797,81.82,69,75,11.5,PG,1627342012
Yulara,-25.2406,130.9889,58.84,26,22,8.05,AU,1627341834
Ampanihy,-24.7,44.75,61.38,68,67,15.82,MG,1627342012
Praia da Vitória,38.7333,-27.0667,73.76,88,75,8.28,PT,1627342012
Bilma,18.6853,12.9164,92.75,38,99,7.36,NE,1627341720
Fort-Shevchenko,44.5086,50.263,81.36,50,90,31.63,KZ,1627342013
Teahupoo,-17.8333,-149.2667,78.76,73,52,8.95,PF,1627342013
Anchorage,61.2181,-149.9003,69.85,63,1,1.01,US,1627341840
Elko,41.0002,-115.5012,98.74,6,24,5.99,US,1627342014
Luleå,65.5842,22.1547,62.67,94,90,6.91,SE,1627342014
Krasnosel'kup,65.7,82.4667,55.2,96,100,13.49,RU,1627341933
Pangoa,-12.1167,-73.0,73.83,68,0,2.19,PE,1627342014
Chhātak,25.0333,91.6667,80.04,91,100,3.22,BD,1627342014
Saint Augustine,29.8947,-81.3145,85.05,94,40,6.91,US,1627341982
Ntungamo,-0.8833,29.65,68.56,59,94,1.86,UG,1627342015
Laguna,38.421,-121.4238,98.24,25,1,4.0,US,1627341831
Ōhara,35.25,140.3833,77.95,89,96,22.84,JP,1627342015
Barranca,-10.75,-77.7667,63.93,83,27,9.78,PE,1627342016
Malbork,54.0359,19.0266,69.89,96,83,5.23,PL,1627342016
Bara,10.3744,10.7288,71.47,97,100,6.67,NG,1627342016
Turukhansk,65.8167,87.9833,74.23,53,65,17.54,RU,1627342016
Denpasar,-8.65,115.2167,73.06,94,20,1.14,ID,1627341890
Masterton,-40.9597,175.6575,54.88,70,66,9.26,NZ,1627342017
Chowchilla,37.123,-120.2602,102.54,17,1,6.91,US,1627342017
Santa Vitória do Palmar,-33.5189,-53.3681,48.74,81,69,10.58,BR,1627342017
Chantilly,38.8943,-77.4311,87.82,71,75,1.99,US,1627342018
Camopi,3.1655,-52.3158,72.21,97,80,2.98,GF,1627342018
Pervomayskoye,43.919,46.7102,74.16,70,99,4.16,RU,1627342018
Kasongo-Lunda,-6.4667,16.8167,70.65,35,64,2.51,CD,1627342019
Mahanoro,-19.9,48.8,62.28,88,34,9.08,MG,1627342019
La Cruz,23.9167,-106.9,89.47,72,25,8.99,MX,1627342019
Bourail,-21.5667,165.4833,69.91,57,100,9.78,NC,1627342019
Talnakh,69.4865,88.3972,69.08,72,75,7.58,RU,1627341838
Katsuura,35.1333,140.3,78.12,88,89,23.62,JP,1627342020
Inuvik,68.3499,-133.7218,63.36,79,75,3.44,CA,1627342020
Bhātāpāra,21.7333,81.9333,79.92,76,100,12.08,IN,1627342020
Nioro,13.35,-15.75,79.05,75,85,8.93,GM,1627341881
Akureyri,65.6835,-18.0878,49.93,93,20,9.22,IS,1627342021
Benguela,-12.5763,13.4055,69.84,85,64,1.19,AO,1627342021
Bathsheba,13.2167,-59.5167,81.21,78,20,14.97,BB,1627341826
Salihorsk,52.7876,27.5415,63.57,90,82,9.42,BY,1627342021
Mt. Pleasant,32.7941,-79.8626,87.01,83,75,1.01,US,1627341780
Lebedinyy,58.5167,125.5167,64.45,68,39,0.56,RU,1627342022
Celestún,20.8667,-90.4,85.71,67,12,9.66,MX,1627342022
Petropavlovsk-Kamchatskiy,53.0452,158.6483,75.79,61,40,15.66,RU,1627341621
Bayanday,53.0661,105.5139,60.85,69,3,5.57,RU,1627342022
Waingapu,-9.6567,120.2641,73.81,82,60,4.56,ID,1627342023
Lahat,-3.8,103.5333,66.07,74,4,3.44,ID,1627342023
Atikokan,48.7555,-91.6216,80.94,33,77,11.41,CA,1627341869
Port Shepstone,-30.7414,30.455,57.45,66,93,6.85,ZA,1627342023
Ahipara,-35.1667,173.1667,58.26,68,15,17.0,NZ,1627341694
‘Ewa Beach,21.3156,-158.0072,89.55,49,40,12.66,US,1627342024
Vila Velha,-20.3297,-40.2925,71.55,88,40,6.91,BR,1627341875
Voiron,45.3639,5.5921,68.27,81,6,2.93,FR,1627342024
Remedios,22.4947,-79.5458,79.72,75,69,9.15,CU,1627342025
Paramirim,-13.4425,-42.2389,72.3,54,58,5.5,BR,1627342025
Houma,29.5958,-90.7195,91.98,76,40,5.75,US,1627342025
Vila,42.0304,-8.1588,58.75,86,7,2.73,PT,1627341730
Kaffrine,14.1059,-15.5508,84.09,70,70,12.95,SN,1627341917
Ust'-Kan,50.9276,84.761,55.67,98,96,1.83,RU,1627342026
Mount Isa,-20.7333,139.5,60.57,36,80,0.0,AU,1627341842
Gao,16.6362,1.637,92.17,38,84,9.1,ML,1627341929
Byron Bay,-28.65,153.6167,64.06,52,0,1.95,AU,1627341965
Todos Santos,23.45,-110.2167,94.3,80,4,5.57,MX,1627342026
Paamiut,61.994,-49.6678,45.91,91,70,8.52,GL,1627341822
Hokitika,-42.7167,170.9667,52.32,73,87,16.26,NZ,1627342026
Alta Floresta,-9.8756,-56.0861,79.7,35,57,2.73,BR,1627341822
Matara,5.9485,80.5353,78.93,89,94,10.78,LK,1627342027
Milpitas,37.4283,-121.9066,93.83,41,90,11.5,US,1627342013
Minggang,32.4586,114.0486,78.35,90,85,10.02,CN,1627342027
Halifax,44.6453,-63.5724,71.49,90,90,1.99,CA,1627341950
Beringovskiy,63.05,179.3167,53.74,91,100,7.23,RU,1627341804
Ambulu,-8.345,113.6058,69.62,91,22,3.24,ID,1627342028
Faanui,-16.4833,-151.75,79.16,73,63,12.28,PF,1627341829
Marabba,12.35,32.1833,70.74,87,90,8.5,SD,1627342028
Marapanim,-0.7175,-47.6997,74.61,92,65,4.63,BR,1627342028
Svetlaya,46.5389,138.3297,73.65,84,99,3.78,RU,1627342029
Altay,47.8667,88.1167,65.3,53,6,4.74,CN,1627341847
Balkhash,46.844,74.9804,69.57,48,0,18.34,KZ,1627342029
Formosa,-26.1775,-58.1781,58.98,88,90,12.66,AR,1627342029
Campbell River,50.0163,-125.2446,79.18,42,20,6.91,CA,1627342030
Brantford,43.1334,-80.2664,86.18,38,0,5.01,CA,1627342030
Saint-Ambroise,48.5501,-71.3324,72.14,80,53,10.16,CA,1627342030
Husavik,66.0449,-17.3389,49.91,81,77,3.49,IS,1627341682
Hastings,50.8552,0.5729,64.15,99,73,11.05,GB,1627342031
Barpathār,26.3,93.8667,77.67,98,100,2.93,IN,1627342031
Huaral,-11.495,-77.2078,60.73,81,9,4.97,PE,1627342031
Khāsh,28.2211,61.2158,81.64,16,47,5.08,IR,1627342031
Kavaratti,10.5669,72.642,81.18,80,100,19.22,IN,1627341865
Seoul,37.5683,126.9778,87.37,60,0,2.3,KR,1627342032
The Valley,18.217,-63.0578,82.81,74,20,11.5,AI,1627341940
Ocampo,21.65,-101.5,74.28,26,20,12.12,MX,1627341823
Morón,-34.6534,-58.6198,53.96,50,74,7.52,AR,1627342032
Bethal,-26.4579,29.4655,37.53,46,5,4.41,ZA,1627342032
Bose,45.4612,8.0137,67.28,89,52,3.4,IT,1627342033
Allāpalli,19.4167,80.0667,75.81,92,100,4.41,IN,1627342033
Saint Anthony,45.0205,-93.218,89.74,45,1,10.36,US,1627341613
